,tweets,id,len,date,source,lang,likes,retweets,sentiment
0,Grande vit ria equipa Vamos em busca do nosso objectivo For a Portugal Vamos com tudo para dar mais uma alegria,1405090902847242241,140,2021-06-16 09:12:31,Twitter for iPhone,pt,28016,2686,0
1,Eyes on the ball,1404118301970780160,46,2021-06-13 16:47:45,Twitter for iPhone,en,207682,10854,0
2,Don t miss a goal in the European Championships Download the app,1403381513589116932,124,2021-06-11 16:00:01,Twitter Media Studio,en,35222,2131,0
3,Muitos parab ns meus amores blessed,1401277948087439362,71,2021-06-05 20:41:11,Twitter for iPhone,pt,247270,10100,0
4,Bom trabalho EQUIPA campeoesdaeuropa,1400931901695795200,67,2021-06-04 21:46:08,Twitter for iPhone,pt,152950,7062,0
5,VamosComTudo,1400524228290650118,40,2021-06-03 18:46:11,Twitter for iPhone,und,191830,10462,0
6,My body is my weapon It s the most important thing to me In football we are always told to eat well and train we,1399988465815666689,140,2021-06-02 07:17:15,Twitter Web App,en,84550,6181,1
7,Non potrei essere pi felice di vincere un altro titolo al servizio di questo grande club Fino Alla Fine Forza Ju,1395143962772623361,140,2021-05-19 22:26:55,Twitter for iPhone,it,201413,15537,1
8,Excited to have signed for,1394201435546472452,61,2021-05-17 08:01:39,Twitter for iPhone,en,86640,6470,1
9,FINO ALLA FINE,1393632041271496706,44,2021-05-15 18:19:05,Twitter for iPhone,it,200625,11172,1
